"","Departamento","Poblacion_2007","Poblacion_2017","Viviendas_particulares_2007","Viviendas_particulares_2017","Total_hogares_2007","Total_hogares_2017","Sin_seguro_de_salud_2007","Sin_seguro_de_salud_2017","Tasa_de_empleo_informal_2008","Tasa_de_empleo_informal_2019","Analfabetismo_2007","Analfabetismo_2017","Sin_Agua_Red_publica_2007","Sin_Agua_Red_publica_2017","Sin_Alumbrado_electrico_por_red_publica_2007","Sin_Alumbrado_electrico_por_red_publica_2017","Vivienda_alquilada_2007","Vivienda_alquilada_2017","Hogares_sin_TIC_2007","Hogares_sin_TIC_2017","Hogares_con_viviendas_sin_servicios_higienicos_2007","Hogares_con_viviendas_sin_servicios_higienicos_2017","Hogares_con_viviendas_con_hacinamiento_2007","Hogares_con_viviendas_con_hacinamiento_2017","pob_sin_seguro_salud","pob_empleo_informal","pob_analfabetismo","viv_sin_agua","viv_sin_electricidad","viv_alquilada","hog_sin_TIC","hog_sin_servhigie","hog_hacinamiento"
"1","AMAZONAS",375993,379384,112680,138806,90645,107364,55.37,14.07123,90.4,86.6,12,10.5,59.2,27.2,51.5,26.3,75.58,15.143496,79.9,29.7,17.128358,6.8598413,22.876055,15.776238,-41.29877,-3.80000000000001,-1.5,-32,-25.2,-60.436504,-50.2,-10.2685167,-7.099817
"2","ANCASH",1063459,1083519,314221,412339,260087,313661,64.14,19.08605,85.6,78.7,12.4,10.4,31.1,19.7,26.8,14.8,79.88,7.788468,56.1,18.4,26.830253,9.566379,9.653308,5.623268,-45.05395,-6.89999999999999,-2,-11.4,-12,-72.091532,-37.7,-17.263874,-4.03004
"3","APURIMAC",404190,405759,148069,181374,106445,126048,44.85,10.38055,90.4,85.4,21.7,16.8,48.2,15.4,43.4,19.6,78.24,16.220095,81.9,28.3,29.77688,10.9061627,13.863498,6.726009,-34.46945,-5,-4.9,-32.8,-23.8,-62.019905,-53.6,-18.8707173,-7.137489
"4","AREQUIPA",1152303,1382730,343631,565799,309892,425522,57.14,34.16922,72.3,66.2,4.1,3.4,26.1,22,15.8,10,74.7,14.06468,39.2,7,11.357183,2.9436786,12.684419,6.359718,-22.97078,-6.09999999999999,-0.7,-4.09999999999999,-5.8,-60.63532,-32.2,-8.4135044,-6.324701
"5","AYACUCHO",612489,616176,222831,277528,163147,185681,45.25,13.51708,92.1,87.3,17.9,13.4,48.8,16.4,48.8,19.1,79.5,14.052981,78.6,21.6,35.210577,10.5034979,16.119205,9.48293,-31.73292,-4.8,-4.5,-32.4,-29.7,-65.447019,-57,-24.7070791,-6.636275
"6","CAJAMARCA",1387809,1341012,412375,503426,333311,395608,55.69,15.3021,91.8,87.9,17.1,14.8,44.5,25.8,59.8,19.3,83.09,13.474721,77,24.7,20.29186,5.1864472,24.342131,12.516683,-40.3879,-3.89999999999999,-2.3,-18.7,-40.5,-69.615279,-52.3,-15.1054128,-11.825448
"7","CALLAO",876877,994494,212608,281882,216252,266228,53.66,22.16474,65.5,57.8,1.6,1.6,27.1,11.7,6.90000000000001,1.7,75.36,21.059962,18.9,4.6,3.88297,0.5844614,10.384644,5.319501,-31.49526,-7.7,0,-15.4,-5.2,-54.300038,-14.3,-3.2985086,-5.065143
"8","CUSCO",1171403,1205527,358498,444986,303974,354869,50.05,24.15732,87.1,81.7,13.9,11,38.7,20.4,35.6,17.8,73.56,18.097054,65.8,21.9,31.483285,9.9662129,14.32787,8.26784,-25.89268,-5.39999999999999,-2.9,-18.3,-17.8,-55.462946,-43.9,-21.5170721,-6.06003
"9","HUANCAVELICA",454797,347639,156819,175192,112817,106018,52.36,7.71979,93.2,92,20.1,17.7,70.3,26.7,44.2,22.5,76.02,12.372325,92.1,31.5,60.058325,20.714407,13.208116,7.002584,-44.64021,-1.2,-2.4,-43.6,-21.7,-63.647675,-60.6,-39.343918,-6.205532
"10","HUANUCO",762223,721047,226367,263565,180731,203451,48.03,18.16678,91.6,86.6,16.6,12.7,65.9,41.2,56.9,27.9,78.94,13.373689,78.1,25.1,27.940973,11.0655637,21.870625,11.062123,-29.86322,-5,-3.9,-24.7,-29,-65.566311,-53,-16.8754093,-10.808502
"11","ICA",711932,850765,197493,297847,180828,238038,57.15,28.76999,70.7,61.4,2.8,2.4,26.9,16,23.8,9.40000000000001,76.64,9.592248,35.2,9.6,15.786272,2.9516296,17.902095,7.36101,-28.38001,-9.3,-0.4,-10.9,-14.4,-67.047752,-25.6,-12.8346424,-10.541085
"12","JUNIN",1225474,1246038,348571,439270,303218,349713,70.04,31.03372,83.4,80.5,7.6,6.6,40.6,20.9,26.6,14.6,68.35,20.45977,60.4,18.1,23.025348,8.1566885,16.703824,10.786273,-39.00628,-2.90000000000001,-1,-19.7,-12,-47.89023,-42.3,-14.8686595,-5.917551
"13","LA LIBERTAD",1617050,1778080,416064,549365,384842,474027,58.3,25.99759,82.3,72.8,8.1,6.6,37.2,17.9,28.1,10.9,78.72,12.77684,44.5,13.1,18.064556,5.1089917,10.412065,6.214836,-32.30241,-9.5,-1.5,-19.3,-17.2,-65.94316,-31.4,-12.9555643,-4.197229
"14","LAMBAYEQUE",1112868,1197260,268235,353973,254488,308987,54.69,23.06542,84.2,75.4,6.5,5.4,35.6,17.8,23.9,8.3,76.56,14.903662,38,10.7,11.072428,3.4593688,10.980871,8.372844,-31.62458,-8.8,-1.1,-17.8,-15.6,-61.656338,-27.3,-7.6130592,-2.608027
"15","LIMA METROPOLITANA",7605742,8574974,1854950,2607336,1860569,2353950,58.1,27.5,66.4,58.7,1.8,1.7,17.1,11.6,5.3,4,28.92,23.92,18.2,3.8,3.333443,0.8681153,12.025085,5.982752,-30.6,-7.7,-0.1,-5.5,-1.3,-5,-14.4,-2.4653277,-6.042333
"16","LIMA REGION",839469,910431,268801,362533,214522,257172,59.3,24.6,79.8,75,4.7,4.1,35.8,21,21.3,11.3,29.11,14.05,42.9,9.9,26.501711,9.5387523,11.025443,6.486709,-34.7,-4.8,-0.600000000000001,-14.8,-10,-15.06,-33,-16.9629587,-4.538734
"17","LORETO",891732,883510,183634,221008,176046,196685,49.38,14.29684,82.6,79.2,5.5,5.4,65.7,49.9,38.7,25.1,86.41,7.216952,68.9,32.3,29.695648,22.8049928,26.469786,19.470219,-35.08316,-3.39999999999999,-0.0999999999999996,-15.8,-13.6,-79.193048,-36.6,-6.8906552,-6.999567
"18","MADRE DE DIOS",109555,141070,30201,51498,27494,41412,63.64,31.96994,79.9,73.8,3.2,3.5,38.4,27.2,31.7,16.1,59.83,31.57868,55.2,10,18.433113,7.4760939,19.742489,12.107602,-31.67006,-6.10000000000001,0.3,-11.2,-15.6,-28.25132,-45.2,-10.9570191,-7.634887
"19","MOQUEGUA",161533,174863,57549,82308,49099,59002,51.83,22.14248,67.8,65.4,4.7,3.8,29.6,22.7,19.7,14.1,79.45,10.866677,45.3,10.6,18.753946,3.7710586,8.788366,4.210027,-29.68752,-2.39999999999999,-0.9,-6.89999999999999,-5.60000000000001,-68.583323,-34.7,-14.9828874,-4.578339
"20","PASCO",280449,254065,77677,93982,66889,69197,60.55,19.75872,78.7,78.1,8.3,7.3,65.5,36.2,31,23.1,64.6,17.491945,68.1,21.8,49.70922,16.0295967,23.558433,15.630735,-40.79128,-0.600000000000009,-1,-29.3,-7.90000000000001,-47.108055,-46.3,-33.6796233,-7.927698
